code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,id_assessment,date_submitted,is_banked,score,id_site,date,sum_click
DDD,2013J,1756165,F,North Region,HE Qualification,30-40%,0-35,0,60,N,Pass,-160.0,,25351.0,123.0,0.0,51.0,673519.0,134.0,12.0
CCC,2014B,236620,M,South Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,-241.0,,24290.0,234.0,0.0,76.0,730132.0,109.0,1.0
CCC,2014J,644828,M,East Midlands Region,HE Qualification,90-100%,0-35,0,180,N,Pass,-17.0,,24291.0,30.0,0.0,100.0,909013.0,180.0,3.0
CCC,2014J,636783,M,North Region,HE Qualification,40-50%,0-35,0,150,N,Distinction,-88.0,,34901.0,91.0,0.0,93.0,957615.0,106.0,1.0
GGG,2014J,675811,F,East Anglian Region,Lower Than A Level,60-70%,35-55,0,30,N,Distinction,-63.0,,37443.0,224.0,0.0,100.0,897151.0,120.0,1.0
DDD,2013J,489410,F,West Midlands Region,Lower Than A Level,80-90%,0-35,0,120,N,Pass,-45.0,,25348.0,24.0,0.0,72.0,673539.0,-1.0,1.0
BBB,2014B,381917,F,East Anglian Region,A Level or Equivalent,10-20,0-35,0,60,N,Distinction,-94.0,,15012.0,149.0,0.0,79.0,768394.0,192.0,6.0
FFF,2013B,544850,M,Scotland,Lower Than A Level,60-70%,35-55,0,90,Y,Pass,-78.0,,34864.0,159.0,0.0,85.0,527251.0,171.0,1.0
DDD,2014B,64450,M,West Midlands Region,Lower Than A Level,30-40%,0-35,1,120,N,Pass,-43.0,,25355.0,25.0,0.0,21.0,772733.0,128.0,6.0
BBB,2014B,622132,F,Scotland,Lower Than A Level,70-80%,0-35,0,60,N,Distinction,-29.0,,15008.0,11.0,0.0,85.0,768340.0,38.0,13.0
EEE,2014B,525332,M,London Region,Lower Than A Level,80-90%,0-35,0,60,Y,Fail,-29.0,,24287.0,69.0,0.0,74.0,790839.0,68.0,5.0
FFF,2014B,444574,M,South East Region,A Level or Equivalent,30-40%,35-55,0,60,N,Fail,-65.0,,34894.0,228.0,0.0,45.0,779089.0,120.0,2.0
DDD,2014J,680331,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,Y,Fail,-79.0,,25364.0,62.0,0.0,70.0,813935.0,60.0,1.0
DDD,2013J,586800,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Distinction,-66.0,,25353.0,205.0,0.0,85.0,674152.0,116.0,1.0
FFF,2014B,550903,M,Scotland,HE Qualification,50-60%,0-35,0,60,Y,Distinction,-150.0,,34896.0,165.0,0.0,85.0,779346.0,156.0,1.0
FFF,2014B,563823,M,North Western Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,-61.0,,34888.0,87.0,0.0,80.0,779746.0,180.0,4.0
DDD,2013J,364770,M,North Western Region,Lower Than A Level,10-20,0-35,1,60,N,Pass,-49.0,,25350.0,91.0,0.0,81.0,673537.0,9.0,1.0
DDD,2013B,548677,M,Ireland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,-59.0,,25346.0,173.0,0.0,67.0,547272.0,142.0,5.0
FFF,2014J,318147,M,East Anglian Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,-64.0,,34907.0,132.0,0.0,80.0,882545.0,56.0,5.0
FFF,2013B,553104,M,Wales,Lower Than A Level,60-70%,0-35,0,120,N,Pass,-34.0,,34860.0,19.0,0.0,92.0,526738.0,135.0,13.0
AAA,2013J,568601,F,Scotland,HE Qualification,30-40%,0-35,0,60,N,Withdrawn,-30.0,128.0,1753.0,60.0,0.0,78.0,546614.0,16.0,1.0
FFF,2013J,603170,M,London Region,Lower Than A Level,40-50%,0-35,0,90,N,Distinction,-52.0,,34882.0,235.0,0.0,85.0,716440.0,22.0,1.0
CCC,2014J,685597,M,Scotland,Lower Than A Level,10-20,0-35,0,90,N,Pass,-25.0,,24298.0,219.0,0.0,79.0,909294.0,125.0,1.0
CCC,2014B,2545113,M,North Western Region,A Level or Equivalent,70-80%,35-55,0,30,N,Pass,-122.0,,24287.0,69.0,0.0,91.0,730117.0,174.0,1.0
DDD,2014B,626852,M,North Western Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,-40.0,,25356.0,54.0,0.0,70.0,773112.0,28.0,3.0
DDD,2013B,475897,M,North Region,A Level or Equivalent,70-80%,35-55,0,120,N,Pass,-95.0,,25343.0,81.0,0.0,69.0,547272.0,56.0,11.0
FFF,2013B,530344,F,Scotland,A Level or Equivalent,10-20,35-55,0,75,N,Pass,-24.0,,34869.0,185.0,0.0,84.0,526721.0,40.0,4.0
AAA,2013J,2486127,F,East Anglian Region,HE Qualification,90-100%,0-35,0,120,N,Pass,-144.0,,1752.0,18.0,0.0,70.0,546654.0,106.0,1.0
BBB,2014J,335035,F,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Fail,-56.0,,15020.0,12.0,0.0,100.0,913515.0,164.0,4.0
FFF,2014J,1972092,M,South East Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,-126.0,,34901.0,107.0,0.0,71.0,882545.0,60.0,2.0
DDD,2014J,586729,F,West Midlands Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-149.0,,25363.0,41.0,0.0,75.0,813956.0,25.0,1.0
FFF,2013J,610099,M,West Midlands Region,A Level or Equivalent,90-100%,35-55,0,120,N,Pass,-29.0,,24286.0,20.0,0.0,80.0,716643.0,233.0,1.0
FFF,2013B,2623196,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,-29.0,,34869.0,188.0,0.0,86.0,526743.0,150.0,12.0
CCC,2014J,572154,M,Scotland,HE Qualification,40-50%,0-35,1,60,N,Withdrawn,-92.0,158.0,34891.0,10.0,0.0,93.0,909093.0,65.0,2.0
BBB,2014J,618734,F,East Midlands Region,Lower Than A Level,20-30%,0-35,0,120,N,Withdrawn,-144.0,229.0,15022.0,108.0,0.0,76.0,926338.0,133.0,1.0
DDD,2013J,585098,M,West Midlands Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,-25.0,,24291.0,29.0,0.0,100.0,674120.0,228.0,3.0
FFF,2013B,479860,M,South West Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,-29.0,,34868.0,109.0,0.0,69.0,527116.0,107.0,1.0
CCC,2014B,628383,M,London Region,HE Qualification,20-30%,0-35,0,30,N,Pass,-34.0,,34907.0,195.0,0.0,89.0,729788.0,120.0,3.0
