sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime_math,studytime_math,failures_math,schoolsup_math,famsup_math,paid_math,activities_math,nursery,higher_math,internet,romantic_math,famrel_math,freetime_math,goout_math,Dalc_math,Walc_math,health_math,absences_math,G1_math,G2_math,G3_math,traveltime_port,studytime_port,failures_port,schoolsup_port,famsup_port,paid_port,activities_port,higher_port,romantic_port,famrel_port,freetime_port,goout_port,Dalc_port,Walc_port,health_port,absences_port,G1_port,G2_port,G3_port,school_GP,school_MS,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_other,reason_reputation,guardian_math_father,guardian_math_mother,guardian_math_other,guardian_port_father,guardian_port_mother,guardian_port_other,avg_grade_math,avg_grade_port,grade_gain_math,grade_gain_port,grade_std_math,grade_std_port,support_score_math,support_score_port,avg_studytime,avg_traveltime,avg_alcohol_use,avg_famrel
0,18,1,1,0,4,4,2,2,0,,,,0,1,1,0,0,4,3,4,1,1,3,0.08937684778068994,-1.752359103806095,-1.23108878515348,-0.937265194968526,2,2,0,,,,0,1,0,4,3,4,1,1,3,0.06678691299534632,-4.7441041972812386,-0.5022983673729385,-0.5152695667088778,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,-1.306904361309367,-1.9205573771210185,0.815093908837569,4.2288346305723605,0.41280203638901014,2.4452718759333743,0.0,0.0,2.0,2.0,1.0,4.0
0,17,1,1,1,1,1,1,2,0,,,,0,0,1,1,0,5,3,3,1,1,3,-0.17325358185179887,-1.752359103806095,-1.4923531828916075,-0.937265194968526,1,2,0,,,,0,1,0,5,3,3,1,1,3,-0.3414146992322103,-1.219092260766672,-0.5022983673729385,-0.5152695667088778,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,-1.393992493888743,-0.7455533982828294,0.815093908837569,0.7038226940577943,0.4163539827020579,0.41014796563547873,0.0,0.0,2.0,1.0,1.0,5.0
0,15,1,0,1,1,1,1,2,3,,,,0,1,1,1,0,4,3,2,2,3,3,0.6146377070456676,-1.1544125404707415,-0.7085599896772251,-0.08276566160819926,1,2,0,,,,0,1,0,4,3,2,2,3,3,0.47498852522290297,-0.04408828192848341,0.3090249998002643,-0.1753162429044022,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,-0.6485793972520553,0.029873491655792905,1.0716468788625422,-0.1312279609759188,0.5383354083141038,0.2504982391354757,0.0,0.0,2.0,1.0,2.5,4.0
0,15,1,1,1,4,2,1,3,0,,,,1,1,1,1,1,3,2,2,1,1,5,-0.4358840114842877,1.2373737128706725,0.8590263967515392,0.9853587550922093,1,3,0,,,,1,1,1,3,2,2,1,1,5,-0.7496163114597669,0.7392477039636425,0.7146866833868658,0.504590404704549,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1.027252954904807,0.6528415973516858,-0.2520149577784633,-0.2346572992590935,0.19262143153629413,0.12897528067004568,0.0,0.0,3.0,1.0,1.0,3.0
0,16,1,1,1,3,3,1,2,0,,,,0,1,1,0,0,4,3,2,1,2,5,-0.17325358185179887,-1.4533858221384184,-0.18603119420097036,-0.08276566160819926,1,2,0,,,,0,1,0,4,3,2,1,2,5,-0.7496163114597669,-0.4357562748745463,0.3090249998002643,0.16463708090007337,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,-0.574060892649196,0.012635268608597122,1.370620160530219,0.6003933557746197,0.7632661339738169,0.39497240407587825,0.0,0.0,2.0,1.0,1.5,4.0
1,16,1,0,1,4,3,1,2,0,,,,1,1,1,1,0,5,4,2,1,2,5,0.6146377070456676,1.2373737128706725,1.1202907944896665,0.9853587550922093,1,2,0,,,,1,1,0,5,4,2,1,2,5,0.47498852522290297,-0.04408828192848341,-0.09663668378633711,0.16463708090007337,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1.1143410874841828,0.007970705061750951,-0.2520149577784633,0.20872536282855678,0.12611278284182173,0.13819767951448927,0.0,0.0,2.0,1.0,1.5,5.0
1,16,1,0,1,2,2,1,2,0,,,,0,1,1,1,0,4,4,4,1,1,3,-0.6985144411167765,0.3404538678676423,0.33649760127528444,0.13085922173188244,1,2,0,,,,0,1,0,4,4,4,1,1,3,-0.7496163114597669,0.3475797110175795,-0.09663668378633711,0.16463708090007337,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0.2692702302916031,0.13852670271043857,-0.20959464613575987,-0.18294263011750614,0.11988377070824367,0.22325627704512946,0.0,0.0,2.0,1.0,1.0,4.0
0,17,1,1,0,4,4,2,2,0,,,,0,1,1,0,0,4,1,4,1,1,1,0.08937684778068994,-1.4533858221384184,-1.4923531828916075,-0.937265194968526,2,2,0,,,,0,1,0,4,1,4,1,1,1,-0.3414146992322103,-0.8274242678206093,0.3090249998002643,0.16463708090007337,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,-1.2943347333328505,-0.11792072904009054,0.5161206271698924,0.9920613487206826,0.3098444855436372,0.6186747299168129,0.0,0.0,2.0,2.0,1.0,4.0
1,15,1,0,0,3,2,1,2,0,,,,0,1,1,1,0,4,2,2,1,1,1,-0.6985144411167765,1.5363469945383494,1.9040839877040487,1.839858288452536,1,2,0,,,,0,1,0,4,2,2,1,1,1,-0.7496163114597669,1.1309156969097054,1.5260100505600687,1.5244503761179755,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1.7600964235649783,1.3937920411959166,0.30351129391418663,0.3935346792082701,0.19641560618594742,0.22765892786151234,0.0,0.0,2.0,1.0,1.0,4.0
1,15,1,1,1,3,4,1,2,0,,,,1,1,1,1,0,5,5,1,1,1,5,-0.6985144411167765,0.9384004312029958,1.1202907944896665,0.9853587550922093,1,2,0,,,,1,1,0,5,5,1,1,1,5,-0.7496163114597669,-0.04408828192848341,-0.09663668378633711,0.16463708090007337,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1.0146833269282907,0.007970705061750951,0.046958323889213505,0.20872536282855678,0.09442443512760021,0.13819767951448927,0.0,0.0,2.0,1.0,1.0,5.0
